Water graves : the art of the unritual in the greater Caribbean , Vale_rie Loichot.,,2020,"Caribbean literature--21st century--History and criticism.; Art, Caribbean--21st century.; Art, Caribbean.; Caribbean literature.; Funeral rites and ceremonies in literature; Mourning customs in literature; Victims in literature; 2000-2099; Criticism, interpretation, etc."
Gropius : the man who built the Bauhaus , Fiona MacCarthy.,"First Harvard University Press edition, 2019",2019,"Gropius, Walter,--1883-1969.; Bauhaus.; Architects--Biography.; Architecture--Study and teaching--History--Massachusetts--Cambridge--20th century.; Architects.; Architectes--Biographies.; Architecture--E_tude et enseignement--Histoire--Massachusetts--Cambridge--20e siècle.; Mouvement moderne (Architecture); Gropius, Walter,--1883-1969; Bauhaus; Architects; Architecture--Study and teaching; Modern movement (Architecture); Massachusetts--Cambridge; Gropius, Walter--1883-1969; 1900-1999; Biography; History; Biographies."
wedding party , Jasmine Guillory.,First edition.,2019,Wedding attendants--Fiction.; Marriage customs and rites--Fiction.; Interpersonal relations--Fiction.; Man-woman relationships--Fiction.; San Francisco (Calif.)--Fiction.; FICTION / Romance / Contemporary.; FICTION / Contemporary Women.; Weddings--Fiction.; Man-woman relationship--Fiction.; Chick lit.; Romance fiction.; Love stories.; Romance fiction
privileged poor : how elite colleges are failing disadvantaged students , Anthony Abraham Jack.,,2019,College students--United States--Attitudes.; Minority college students--United States--Attitudes.; Cultural pluralism--United States.; Multicultural education--United States.; Minorities--Education (Higher)--United States.; College students--Attitudes; Cultural pluralism; Minority college students--Attitudes; Multicultural education; College students--Attitudes.; Cultural pluralism.; Minorities--Education (Higher); Minority college students--Attitudes.; Multicultural education.; United States
Archaeology and the letters of Paul , Laura Salah Nasrallah.,,2019,"Paul,--the Apostle, Saint--Correspondence.; Paul,--the Apostle, Saint--Friends and associates.; Paul,--the Apostle, Saint; Bible Antiquities.; Bible. Epistles of Paul Criticism, interpretation, etc.; Bible. Epistles of Paul.; Archaeology and religion--Mediterranean Region.; Friendship.; Mediterranean Region--Antiquities.; Criticism, interpretation, etc."
orchestra of minorities : a novel , Chigozie Obioma.,First edition.,2019,Farmers--Nigeria--Fiction.; Man-woman relationships--Fiction.; Farmers.; Man-woman relationships.; Nigeria--Fiction.; Nigeria; Fiction.
Mouthful of birds : stories , Samanta Schweblin ; translated from the Spanish by Megan McDowell.,First American edition.,2019,"Schweblin, Samanta,--1978---Translations into English.; Married people--Fiction.; Dysfunctional families--Fiction.; Interpersonal relations--Fiction.; FICTION / Literary.; FICTION / Short Stories (single author).; FICTION / Magical Realism.; Dysfunctional families.; Interpersonal relations.; Married people.; Short stories, Argentine.; Translations; Short stories."
How to date men when you hate men , Blythe Roberson.,First edition.,2019,"Dating (Social customs)--Humor.; Man-woman relationships--Humor.; Dating (Social customs.); Feminism.; Patriarchy.; HUMOR / Internet & Social Media.; HUMOR / Men, Women & Relationships.; Humor."
Hollywood's Eve : Eve Babitz and the secret history of L.A. , Lili Anolik.,First Scribner hardcover edition.,2019,"Babitz, Eve.; Women authors, American--20th century--Biography.; Artists--California--Los Angeles--Biography.; Artists.; Women authors, American.; ART / Popular Culture.; BIOGRAPHY & AUTOBIOGRAPHY / Entertainment & Performing Arts.; BIOGRAPHY & AUTOBIOGRAPHY / Literary Figures.; Hollywood (Los Angeles, Calif.)--Biography.; California--Los Angeles; California--Los Angeles--Hollywood.; 1900-1999; Biography.; Biographies.; Nonfiction."
"You know you want this : ""Cat person"" and other stories ", Kristen Roupenian.,First Scout Press hardcover edition.,2019,Women--Fiction.; FICTION / Literary.; FICTION / Short Stories (single author); FICTION / Women.; Short stories.
"Cultural backlash : Trump, Brexit, and the rise of authoritarian populism "," Pippa Norris, Ronald Inglehart.",,2019,Populism--United States.; Authoritarianism--United States.; Populism--Great Britain.; Authoritarianism--Great Britain.; United States--Politics and government--21st century.; Great Britain--Politics and government--21st century.; Authoritarianism.; Politics and government.; Populism.; Great Britain; United States; 2000-2099
